customer_id,segment,region,risk_tier,main_risk_driver,recommended_action,governance_priority_score,total_revenue,revenue_in_scope,high_discount_revenue,margin_at_risk_revenue,discount_leakage_value,priority_value_proxy
C01148,Enterprise,LATAM,High,discount_dependency_score,redesign discount policy,72.57,16569822.66,16569822.66,15039937.38,1420520.97,5191720.74,1030872.0679289999
C01083,Enterprise,North America,Medium,discount_dependency_score,review segment pricing,62.12,9374791.97,9374791.97,6337930.88,888240.91,2490714.1399999997,551775.253292
C01048,Enterprise,Europe,Medium,discount_dependency_score,review segment pricing,48.36,12690579.209999999,12690579.209999999,5298218.409999998,1113931.94,3102888.7200000007,538697.4861839999
C00642,Enterprise,Europe,High,discount_dependency_score,redesign discount policy,75.85,4003089.0,4003089.0,4003088.9999999995,661433.1699999999,1258023.3700000003,501697.0594449999
C00993,Enterprise,LATAM,High,discount_dependency_score,redesign discount policy,71.0,6026091.67,6026091.67,5238069.09,693317.82,1762394.1800000004,492255.65219999995
C00995,Enterprise,Europe,High,discount_dependency_score,redesign discount policy,69.41,8901066.85,8901066.85,7722212.9399999995,682362.48,2622396.54,473627.79736799997
C00520,Enterprise,LATAM,Medium,discount_dependency_score,review segment pricing,60.35,6807700.3,6807700.3,4189174.33,762128.23,1805661.85,459944.386805
C00132,Enterprise,Europe,High,discount_dependency_score,redesign discount policy,72.94,5916508.02,5916508.02,5080178.95,614321.8899999999,1769212.52,448086.3865659999
C01169,Enterprise,North America,High,discount_dependency_score,redesign discount policy,72.22,4997983.57,4997983.57,4578436.43,618261.09,1559968.0699999998,446508.1591979999
C00657,Enterprise,North America,High,discount_dependency_score,redesign discount policy,67.16,6124261.36,6124261.36,4687104.720000001,642469.6200000001,1727908.14,431482.59679200005
C01163,Enterprise,Europe,High,discount_dependency_score,redesign discount policy,65.44,9683211.65,9683211.65,6996495.52,655364.8200000001,2656491.82,428870.738208
C00914,Public Sector,Europe,High,discount_dependency_score,redesign discount policy,75.29,1381138.37,1381138.37,1381138.3699999999,538181.62,422046.7499999999,405196.941698
C00301,Enterprise,Europe,High,discount_dependency_score,redesign discount policy,68.78,7677365.52,7677365.52,6272639.74,577860.09,2198998.06,397452.16990199994
C01114,Enterprise,North America,Medium,discount_dependency_score,review segment pricing,55.48,16024767.96,16024767.96,9121878.260000002,705173.07,4093608.3399999994,391230.01923599996
C00025,Enterprise,North America,High,discount_dependency_score,redesign discount policy,72.42,4821230.46,4821230.46,4028112.2899999996,479656.43000000005,1347143.2499999998,347367.18660600006
C00459,Enterprise,North America,High,discount_dependency_score,redesign discount policy,65.83,8084054.05,8084054.05,5662158.350000001,522415.38,2277094.5300000003,343906.044654
C00829,Enterprise,Europe,Medium,discount_dependency_score,review segment pricing,63.84,3956422.15,3956422.15,3049185.4600000004,533344.5399999999,1137248.2500000002,340487.154336
C00441,Enterprise,LATAM,Medium,discount_dependency_score,review segment pricing,59.84,9296262.01,9296262.01,5895364.850000001,549693.2100000001,2513877.3699999996,328936.4168640001
C00982,Enterprise,APAC,High,discount_dependency_score,redesign discount policy,70.29,4488642.58,4488642.58,3652272.35,451505.39,1290047.04,317363.13863100007
C00295,Enterprise,Europe,Medium,discount_dependency_score,review segment pricing,64.83,11279542.06,11279542.06,7915116.149999999,484176.56000000006,3117579.4899999998,313891.66384800005
C01106,Enterprise,North America,Medium,discount_dependency_score,review segment pricing,61.08,6502541.98,6502541.98,3723733.21,499250.6,1700895.8,304942.26648
C00382,Enterprise,North America,Medium,discount_dependency_score,review segment pricing,59.26,6129162.1,6129162.1,3273962.9200000004,513275.27999999997,1565233.7499999998,304166.930928
C00293,Enterprise,Europe,High,discount_dependency_score,redesign discount policy,66.88,8248456.05,8248456.05,5932346.32,432370.43,2348511.8200000003,289169.34358399996
C01142,Enterprise,North America,Medium,discount_dependency_score,review segment pricing,48.67,10971896.92,10971896.92,3854332.5199999996,576560.04,2653904.9699999997,280611.771468
C00842,Enterprise,LATAM,Medium,discount_dependency_score,review segment pricing,60.7,4504963.11,4504963.11,2724180.2,460932.67000000004,1179463.0100000002,279786.13069
C00080,Enterprise,Europe,Medium,discount_dependency_score,review segment pricing,57.14,8355885.36,8355885.36,4571973.49,476869.25,2115076.76,272483.08945
C01018,Enterprise,APAC,Medium,discount_dependency_score,review segment pricing,54.49,15685060.81,15685060.81,8071101.359999999,485699.82,3909381.3899999997,264657.831918
C00370,Enterprise,Europe,High,discount_dependency_score,redesign discount policy,66.04,10127589.52,10127589.52,8170756.3500000015,385721.4,2883734.68,254730.41256000006
C00357,Enterprise,APAC,High,discount_dependency_score,redesign discount policy,71.27,3219149.46,3219149.46,2716979.5200000005,349280.57,928427.58,248932.262239
C00402,Enterprise,North America,High,discount_dependency_score,redesign discount policy,65.52,5370515.78,5370515.78,3519736.15,365580.91000000003,1475248.1400000001,239528.612232
C00434,Enterprise,Europe,Medium,discount_dependency_score,review segment pricing,58.88,6927998.2,6927998.2,3494981.5,380913.91,1739167.5999999999,224282.11020799997
C00787,Enterprise,North America,High,discount_dependency_score,redesign discount policy,65.05,6181760.01,6181760.01,3667078.1699999995,339211.85,1642406.5299999998,220657.30842499997
C00774,Enterprise,North America,Medium,discount_dependency_score,review segment pricing,53.39,5566753.74,5566753.74,2995599.01,397550.57000000007,1445363.3499999999,212252.24932300005
C00858,Enterprise,Europe,High,discount_dependency_score,redesign discount policy,72.91,3976165.04,3976165.04,2986323.6300000004,280828.19,1099273.5799999998,204751.833329
C01193,Enterprise,North America,Medium,discount_dependency_score,review segment pricing,54.16,8441049.67,8441049.67,4116167.08,373119.86,2027123.3999999997,202081.716176
C00045,Enterprise,North America,Medium,discount_dependency_score,review segment pricing,55.72,7022957.2,7022957.2,3928114.61,359928.73,1785106.6999999995,200552.288356
C01120,Enterprise,APAC,Medium,discount_dependency_score,review segment pricing,57.02,11713199.94,11713199.94,5429998.33,350296.96,2915798.42,199739.32659200003
C00708,Enterprise,North America,Medium,discount_dependency_score,review segment pricing,48.44,8963419.45,8963419.45,3777685.1199999996,409655.91000000003,2097187.08,198437.32280400002
C00162,Enterprise,North America,Medium,discount_dependency_score,review segment pricing,62.82,8885702.49,8885702.49,6163023.0600000005,315339.16,2397200.86,198096.060312
C00343,Enterprise,North America,Medium,discount_dependency_score,review segment pricing,63.99,5305124.52,5305124.52,3413256.6400000006,298773.05,1394846.1800000002,191184.874695
C01188,Public Sector,North America,High,discount_dependency_score,redesign discount policy,67.62,3094088.88,3094088.88,2239864.9700000007,277366.11000000004,850142.57,187554.96358200003
C00942,Enterprise,Europe,Medium,discount_dependency_score,review segment pricing,56.75,3811435.69,3811435.69,1963434.29,326070.31999999995,1009234.4,185044.90659999996
C00117,Enterprise,Europe,Medium,discount_dependency_score,review segment pricing,59.01,3153843.32,3153843.32,2054653.58,312991.24,876258.5599999999,184696.130724
C00024,Enterprise,Europe,Medium,discount_dependency_score,review segment pricing,64.74,2265272.88,2265272.88,1375261.5299999998,280052.37,610285.28,181305.904338
C01181,Enterprise,APAC,Medium,discount_dependency_score,review segment pricing,49.57,8859216.67,8859216.67,4024466.72,339558.23,2197545.8299999996,168319.014611
C00937,Enterprise,North America,High,discount_dependency_score,redesign discount policy,77.97,1542953.26,1542953.26,1521969.78,215668.57,492677.8900000001,168156.784029
C01174,Enterprise,North America,Medium,discount_dependency_score,review segment pricing,64.39,1906955.01,1906955.01,1287445.78,258611.58,504108.94999999995,166519.996362
C00949,Enterprise,LATAM,Medium,discount_dependency_score,review segment pricing,60.86,2910990.57,2910990.57,2234884.69,264351.89,835578.8300000001,160884.560254
C00957,Enterprise,North America,Medium,discount_dependency_score,review segment pricing,46.91,8558959.86,8558959.86,3256238.61,339926.0,2045721.4800000002,159459.2866
